0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0502136106  7.9059653292  19.6535018007  159.2563618452  
0.0000000000 248.0502136106  7.9059653292  19.6535018007  159.2563618452  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0502136106  7.9059653292  19.6535018007  159.2563618452  
0.0000000000 248.0502136106  7.9059653292  19.6535018007  159.2563618452  
0.0000000000 248.0502136106  7.9059653292  19.6535018007  159.2563618452  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0458172154  7.9392154613  19.7403612696  168.9376250735  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
0.0000000000 248.0502137657  7.9156488966  19.6776385945  158.8067996348  
